Id,Bound
0,1
1,1
2,0
3,0
4,1
5,1
6,1
7,0
8,1
9,1
10,0
11,1
12,1
13,1
14,1
15,1
16,1
17,1
18,0
19,0
20,1
21,0
22,1
23,0
24,1
25,0
26,1
27,1
28,0
29,1
30,0
31,1
32,0
33,0
34,1
35,1
36,1
37,0
38,0
39,0
40,1
41,1
42,1
43,1
44,1
45,1
46,0
47,0
48,1
49,0
50,1
51,1
52,0
53,0
54,0
55,1
56,1
57,1
58,1
59,1
60,1
61,1
62,1
63,1
64,0
65,1
66,0
67,1
68,1
69,0
70,1
71,1
72,0
73,1
74,1
75,0
76,0
77,1
78,1
79,1
80,1
81,0
82,0
83,0
84,1
85,1
86,1
87,0
88,1
89,1
90,0
91,1
92,1
93,0
94,1
95,0
96,1
97,1
98,1
99,0
100,1
101,1
102,0
103,1
104,1
105,0
106,1
107,1
108,0
109,1
110,0
111,0
112,0
113,1
114,1
115,1
116,0
117,0
118,1
119,0
120,1
121,1
122,0
123,0
124,1
125,1
126,0
127,1
128,0
129,1
130,1
131,0
132,0
133,0
134,0
135,0
136,1
137,1
138,1
139,1
140,0
141,1
142,0
143,1
144,1
145,1
146,0
147,1
148,1
149,0
150,0
151,0
152,0
153,1
154,1
155,1
156,1
157,0
158,0
159,1
160,1
161,1
162,1
163,1
164,0
165,0
166,1
167,1
168,1
169,0
170,0
171,1
172,1
173,0
174,0
175,0
176,1
177,1
178,1
179,0
180,1
181,0
182,1
183,1
184,0
185,1
186,1
187,1
188,1
189,1
190,1
191,1
192,0
193,0
194,0
195,1
196,1
197,1
198,0
199,0
200,1
201,0
202,1
203,0
204,0
205,0
206,0
207,1
208,0
209,1
210,1
211,1
212,1
213,1
214,1
215,1
216,1
217,1
218,1
219,0
220,0
221,1
222,0
223,1
224,0
225,1
226,0
227,1
228,0
229,1
230,0
231,0
232,0
233,1
234,1
235,0
236,1
237,1
238,1
239,1
240,1
241,0
242,1
243,1
244,1
245,1
246,1
247,1
248,0
249,0
250,0
251,1
252,0
253,1
254,0
255,1
256,1
257,1
258,1
259,1
260,1
261,0
262,0
263,1
264,1
265,1
266,0
267,1
268,1
269,1
270,1
271,1
272,1
273,0
274,0
275,0
276,1
277,0
278,1
279,0
280,1
281,1
282,1
283,1
284,1
285,0
286,0
287,1
288,1
289,0
290,1
291,1
292,1
293,0
294,1
295,1
296,1
297,1
298,0
299,1
300,1
301,0
302,0
303,1
304,1
305,1
306,1
307,1
308,1
309,1
310,1
311,1
312,0
313,0
314,0
315,1
316,1
317,1
318,1
319,1
320,1
321,0
322,1
323,1
324,0
325,1
326,1
327,1
328,1
329,0
330,1
331,1
332,1
333,0
334,0
335,1
336,1
337,0
338,1
339,0
340,1
341,0
342,1
343,1
344,1
345,1
346,0
347,1
348,0
349,1
350,1
351,1
352,1
353,1
354,1
355,1
356,0
357,1
358,0
359,0
360,1
361,0
362,1
363,1
364,1
365,1
366,1
367,1
368,1
369,0
370,1
371,1
372,1
373,1
374,1
375,1
376,1
377,1
378,1
379,1
380,1
381,1
382,0
383,0
384,1
385,1
386,1
387,0
388,1
389,0
390,1
391,0
392,1
393,1
394,0
395,1
396,1
397,1
398,1
399,1
400,1
401,0
402,0
403,0
404,0
405,0
406,1
407,1
408,1
409,1
410,1
411,1
412,0
413,1
414,0
415,0
416,0
417,0
418,0
419,0
420,1
421,1
422,0
423,0
424,0
425,0
426,1
427,0
428,1
429,0
430,1
431,1
432,1
433,0
434,0
435,1
436,1
437,0
438,0
439,0
440,0
441,0
442,1
443,0
444,1
445,1
446,1
447,1
448,1
449,1
450,1
451,1
452,0
453,0
454,1
455,1
456,0
457,0
458,0
459,0
460,1
461,1
462,1
463,1
464,1
465,0
466,0
467,0
468,1
469,1
470,1
471,0
472,1
473,0
474,0
475,1
476,0
477,1
478,0
479,1
480,0
481,1
482,0
483,0
484,0
485,1
486,0
487,0
488,0
489,0
490,0
491,1
492,1
493,0
494,1
495,0
496,1
497,1
498,1
499,1
500,1
501,0
502,0
503,1
504,1
505,0
506,1
507,0
508,1
509,0
510,1
511,1
512,1
513,0
514,1
515,0
516,0
517,1
518,1
519,0
520,0
521,1
522,1
523,0
524,0
525,1
526,1
527,1
528,1
529,0
530,1
531,1
532,0
533,1
534,0
535,0
536,0
537,0
538,0
539,1
540,1
541,0
542,1
543,1
544,1
545,0
546,1
547,1
548,1
549,1
550,1
551,1
552,0
553,1
554,1
555,1
556,0
557,1
558,1
559,1
560,1
561,0
562,1
563,1
564,1
565,0
566,1
567,0
568,1
569,1
570,1
571,1
572,1
573,0
574,0
575,1
576,1
577,1
578,1
579,1
580,1
581,0
582,0
583,1
584,1
585,0
586,1
587,0
588,0
589,0
590,1
591,1
592,1
593,0
594,1
595,0
596,1
597,1
598,0
599,1
600,0
601,0
602,1
603,1
604,1
605,1
606,1
607,1
608,1
609,0
610,0
611,1
612,1
613,0
614,1
615,1
616,1
617,0
618,0
619,1
620,1
621,0
622,1
623,0
624,0
625,0
626,0
627,0
628,1
629,1
630,0
631,0
632,1
633,0
634,1
635,0
636,1
637,0
638,1
639,1
640,0
641,1
642,1
643,0
644,0
645,0
646,1
647,0
648,0
649,1
650,1
651,0
652,0
653,1
654,1
655,0
656,0
657,1
658,0
659,1
660,0
661,1
662,1
663,1
664,0
665,0
666,1
667,0
668,1
669,0
670,1
671,0
672,1
673,0
674,1
675,1
676,1
677,0
678,1
679,0
680,1
681,0
682,1
683,0
684,0
685,0
686,1
687,1
688,0
689,0
690,0
691,1
692,0
693,1
694,0
695,1
696,1
697,0
698,0
699,1
700,1
701,0
702,1
703,0
704,1
705,0
706,1
707,1
708,0
709,1
710,1
711,0
712,1
713,1
714,0
715,0
716,0
717,0
718,0
719,1
720,0
721,1
722,1
723,0
724,1
725,1
726,1
727,1
728,1
729,0
730,1
731,1
732,1
733,0
734,0
735,1
736,1
737,0
738,1
739,1
740,1
741,1
742,1
743,1
744,0
745,0
746,1
747,0
748,0
749,1
750,1
751,0
752,0
753,0
754,1
755,1
756,1
757,0
758,0
759,1
760,1
761,1
762,1
763,0
764,0
765,1
766,0
767,1
768,1
769,1
770,1
771,1
772,1
773,1
774,1
775,0
776,1
777,1
778,1
779,0
780,1
781,1
782,1
783,0
784,1
785,1
786,1
787,1
788,1
789,1
790,1
791,1
792,1
793,0
794,1
795,1
796,1
797,0
798,0
799,1
800,1
801,0
802,0
803,0
804,1
805,1
806,0
807,1
808,0
809,0
810,0
811,0
